epoch,critic_grad_norm,d_loss,g_loss,val_critic_grad_norm,val_d_loss,val_g_loss
0,0.879155674069706,-0.508642315864563,5.151974678039551,NA,NA,NA
1,6.305642949210273,-0.5508967638015747,5.7704668045043945,NA,NA,NA
2,2.648113760528051,-0.5416446328163147,5.472299575805664,NA,NA,NA
3,1.5965304330715702,-0.5258863568305969,5.376574993133545,NA,NA,NA
4,4.438925434317854,-0.5330161452293396,5.8422393798828125,NA,NA,NA
5,2.648824427690771,-0.5220414996147156,6.178073406219482,NA,NA,NA
6,1.6673823017690694,-0.5013430714607239,6.459280014038086,NA,NA,NA
7,1.650212682887084,-0.4850104749202728,6.506319046020508,NA,NA,NA
8,1.3400359306898382,-0.4747232496738434,6.560145854949951,NA,NA,NA
9,1.204532535487993,-0.46802154183387756,6.174544334411621,NA,NA,NA
10,1.2075511237813368,-0.48917916417121887,6.830415725708008,NA,NA,NA
11,1.9391338522028592,-0.5244182348251343,7.179892539978027,NA,NA,NA
12,2.1779664028435946,-0.5482986569404602,7.401574611663818,NA,NA,NA
13,2.6283667366951704,-0.5204547047615051,6.7824530601501465,NA,NA,NA
14,2.0976497477127447,-0.49766653776168823,6.941868305206299,NA,NA,NA
15,2.2407525183322528,-0.4917340576648712,6.474989414215088,NA,NA,NA
16,1.815964823588729,-0.5336259007453918,7.275600910186768,NA,NA,NA
17,1.3962655828541353,-0.5627530217170715,7.650111675262451,NA,NA,NA
18,1.7705203692118328,-0.5679304599761963,8.402246475219727,NA,NA,NA
19,5.42624316799144,-0.5364999771118164,7.821310520172119,NA,NA,NA
20,1.2445139849248033,-0.5502956509590149,8.153349876403809,NA,NA,NA
21,2.0562419294793575,-0.5784862637519836,7.888151168823242,NA,NA,NA
22,4.182221487164497,-0.5964164733886719,7.406377792358398,NA,NA,NA
23,1.515890909358859,-0.6051421165466309,6.972486972808838,NA,NA,NA
24,3.36867287563574,-0.6334370970726013,6.756956577301025,NA,NA,NA
25,3.5944999922325627,-0.62777179479599,6.779788970947266,NA,NA,NA
26,1.5922302670466404,-0.6090028285980225,8.723955154418945,NA,NA,NA
27,1.6122156391955085,-0.6155686974525452,8.110201835632324,NA,NA,NA
28,1.4211889506938558,-0.6118564009666443,7.687605857849121,NA,NA,NA
29,1.1502246102318168,-0.6037030220031738,7.972692012786865,NA,NA,NA
30,2.4110911848385714,-0.5988048911094666,7.906314849853516,NA,NA,NA
31,1.555799192024602,-0.581533670425415,8.106842994689941,NA,NA,NA
32,1.1090363311684794,-0.5557825565338135,6.9203619956970215,NA,NA,NA
33,2.9993476438232594,-0.5342596769332886,6.018708229064941,NA,NA,NA
34,2.5918246530151614,-0.5068618059158325,6.026950836181641,NA,NA,NA
35,0.8422022681269381,-0.4877975285053253,5.804253578186035,NA,NA,NA
36,1.4351554065942764,-0.4735654592514038,5.698850631713867,NA,NA,NA
37,1.5225703072113295,-0.4915506839752197,5.411713600158691,NA,NA,NA
38,1.9588804702377982,-0.5044790506362915,4.946561813354492,NA,NA,NA
39,1.8622277747425768,-0.5325632095336914,4.941094875335693,NA,NA,NA
40,0.7869377144508891,-0.5404444336891174,4.860043525695801,NA,NA,NA
41,2.252743222233322,-0.5490442514419556,4.791423797607422,NA,NA,NA
42,1.1236700728639133,-0.5353485941886902,5.489040851593018,NA,NA,NA
43,1.2595356886999474,-0.5283362865447998,5.291485786437988,NA,NA,NA
44,2.103878343762416,-0.5288928151130676,5.541856288909912,NA,NA,NA
45,2.0351263820711107,-0.5428076982498169,5.978663921356201,NA,NA,NA
46,2.263016094246672,-0.5429784059524536,6.2811102867126465,NA,NA,NA
47,1.4764347895979881,-0.5883935689926147,6.849983215332031,NA,NA,NA
48,1.7007002702965919,-0.523547887802124,5.628698825836182,NA,NA,NA
49,0.9558907692424126,-0.5346298813819885,5.814472675323486,NA,NA,NA
50,0.9376991916861799,-0.4776155650615692,5.330535888671875,NA,NA,NA
51,4.067430146348973,-0.4624635875225067,5.840266704559326,NA,NA,NA
52,1.7180226889257837,-0.46163561940193176,7.151710033416748,NA,NA,NA
53,1.6189070431929495,-0.4493454694747925,6.217768669128418,NA,NA,NA
54,1.2538489845788314,-0.5029955506324768,6.322268962860107,NA,NA,NA
55,1.0838308998694022,-0.5903925895690918,7.743798732757568,NA,NA,NA
56,2.1302738843692675,-0.6148830652236938,7.568582057952881,NA,NA,NA
57,4.5437044652385845,-0.5844964385032654,6.629619121551514,NA,NA,NA
58,1.877761971283083,-0.5685759782791138,6.771627902984619,NA,NA,NA
59,1.6849241455396016,-0.6088487505912781,7.086805820465088,NA,NA,NA
60,2.040570878656581,-0.6467478275299072,6.831829071044922,NA,NA,NA
61,2.451646763805507,-0.6163273453712463,6.287506103515625,NA,NA,NA
62,1.2453000123302143,-0.6038098335266113,6.432030200958252,NA,NA,NA
63,1.405189350971745,-0.5886693000793457,6.214163780212402,NA,NA,NA
64,1.0638773949920304,-0.5641142725944519,6.020870685577393,NA,NA,NA
65,2.146533629675913,-0.5697600245475769,5.65262508392334,NA,NA,NA
66,4.592045747519781,-0.553526759147644,5.438225269317627,NA,NA,NA
67,2.4940848317411213,-0.5517885088920593,5.3911285400390625,NA,NA,NA
68,1.34257242994176,-0.5495390295982361,5.491667747497559,NA,NA,NA
69,2.412392847136491,-0.5424942374229431,5.588551998138428,NA,NA,NA
