epoch,accuracy,loss,val_accuracy,val_loss
0,0.7517725825309753,0.4918626844882965,0.6159918308258057,0.9245131611824036
1,0.8714548349380493,0.2932996153831482,0.6243951916694641,1.080330729484558
2,0.9145877361297607,0.20698772370815277,0.6419658660888672,1.1616076231002808
3,0.9373030662536621,0.1593308448791504,0.6633562445640564,1.2222932577133179
4,0.9531906247138977,0.12369591742753983,0.6679399013519287,1.223724603652954
5,0.9564732313156128,0.11101162433624268,0.6529157161712646,1.4577771425247192
6,0.9751838445663452,0.07075539976358414,0.6399286985397339,1.4838513135910034
7,0.9788603186607361,0.05635548382997513,0.6305067539215088,1.5418599843978882
8,0.9722951650619507,0.07348242402076721,0.6386554837226868,1.7183549404144287
9,0.9849658608436584,0.04220414534211159,0.5775400996208191,1.9835453033447266
10,0.9787290096282959,0.05842313915491104,0.6788897514343262,1.7882161140441895
11,0.9801076650619507,0.053943049162626266,0.6613190770149231,1.6967004537582397
12,0.9856880307197571,0.04147810488939285,0.6284695863723755,1.883510947227478
13,0.9871323704719543,0.0369289368391037,0.6646294593811035,1.9272699356079102
14,0.9844406247138977,0.04217274859547615,0.6294881701469421,1.952547311782837
15,0.9876575469970703,0.032740261405706406,0.6246498823165894,2.5089516639709473
16,0.9923188090324402,0.023933112621307373,0.6139546632766724,2.4160642623901367
17,0.9859506487846375,0.042231205850839615,0.6406926512718201,2.1311991214752197
18,0.9929752945899963,0.020566346123814583,0.6195569038391113,2.483987331390381
19,0.9911370873451233,0.023985369130969048,0.6246498823165894,2.7761244773864746
20,0.9933035969734192,0.020199885591864586,0.617519736289978,2.4823734760284424
21,0.9873949289321899,0.03868691623210907,0.5558950901031494,2.7569472789764404
22,0.9879857897758484,0.03450337424874306,0.6524063944816589,2.123300075531006
23,0.9927127361297607,0.021257925778627396,0.6429844498634338,2.460702419281006
24,0.9921875,0.024902906268835068,0.6198115348815918,2.443851947784424
25,0.9891675710678101,0.030738066881895065,0.6002036929130554,2.26423978805542
26,0.990677535533905,0.026269929483532906,0.6320346593856812,2.6022047996520996
27,0.9961265921592712,0.014226988889276981,0.5961293578147888,2.543654441833496
28,0.9968487620353699,0.011367165483534336,0.6009676456451416,3.012694835662842
29,0.986213207244873,0.04106023162603378,0.6203208565711975,2.305911064147949
30,0.991202712059021,0.028279174119234085,0.6470588445663452,2.3399946689605713
31,0.9928439855575562,0.022106820717453957,0.6475681066513062,2.48211407661438
32,0.9964548349380493,0.01014527678489685,0.6417112350463867,2.3242740631103516
33,0.9978991746902466,0.007428108714520931,0.6376368999481201,2.7973480224609375
34,0.997505247592926,0.007973061874508858,0.6040234565734863,2.9671847820281982
35,0.9792541861534119,0.06239842623472214,0.5854341983795166,1.955000400543213
36,0.9933035969734192,0.02018526941537857,0.6121721267700195,2.4898319244384766
37,0.9957326650619507,0.013984207063913345,0.6154825687408447,3.062727451324463
38,0.9942227005958557,0.018146313726902008,0.6302521228790283,2.537315845489502
39,0.9917279481887817,0.02624182030558586,0.6182836890220642,2.4194447994232178
40,0.9938944578170776,0.019643837586045265,0.6236312985420227,2.246835708618164
41,0.9886423349380493,0.0339287631213665,0.6361089944839478,2.3924849033355713
42,0.994682252407074,0.015530244447290897,0.6450216174125671,2.4899916648864746
43,0.9996717572212219,0.0022896321024745703,0.6330532431602478,2.963200569152832
44,1.0,0.00040806696051731706,0.6335625052452087,2.9868242740631104
45,1.0,0.00015804693975951523,0.6366182565689087,3.0216634273529053
46,1.0,0.00010963442764477804,0.6366182565689087,3.0634095668792725
47,1.0,8.334605081472546e-05,0.6366182565689087,3.092521905899048
48,1.0,6.738667434547096e-05,0.6386554837226868,3.1234235763549805
49,1.0,5.530177804757841e-05,0.6363636255264282,3.1479694843292236
50,1.0,4.702594378613867e-05,0.6389101147651672,3.1744236946105957
51,1.0,3.9570015360368416e-05,0.638146162033081,3.1983320713043213
52,1.0,3.3741354855010286e-05,0.6389101147651672,3.2173798084259033
53,1.0,2.8685481083812192e-05,0.6394193768501282,3.245806932449341
54,1.0,2.565238537499681e-05,0.6378915309906006,3.2745866775512695
55,1.0,2.1655321688740514e-05,0.6399286985397339,3.292466878890991
56,1.0,1.9327109839650802e-05,0.641201913356781,3.3164849281311035
57,1.0,1.660111047385726e-05,0.6417112350463867,3.3291702270507812
58,1.0,1.4402170563698746e-05,0.6424751877784729,3.3484091758728027
59,1.0,1.1918063137272839e-05,0.6417112350463867,3.374208450317383
60,1.0,1.1017446013283916e-05,0.6424751877784729,3.3868753910064697
61,1.0,9.427247277926654e-06,0.6417112350463867,3.4062256813049316
62,1.0,8.3736922533717e-06,0.6429844498634338,3.4239418506622314
63,1.0,7.289698714885162e-06,0.6434937715530396,3.4441795349121094
64,1.0,6.402758572221501e-06,0.6434937715530396,3.462374210357666
65,1.0,5.603573299595155e-06,0.6432391405105591,3.480064868927002
66,1.0,4.9684354053169955e-06,0.6432391405105591,3.499074697494507
67,1.0,4.420120603754185e-06,0.6424751877784729,3.5117368698120117
68,1.0,3.7017514387116535e-06,0.6440030336380005,3.5369813442230225
69,1.0,3.3615162919886643e-06,0.64374840259552,3.5479393005371094
70,1.0,2.867246621462982e-06,0.6440030336380005,3.5672600269317627
71,1.0,2.505792735973955e-06,0.6434937715530396,3.5868310928344727
72,1.0,2.1852172267244896e-06,0.6442577242851257,3.59607195854187
73,1.0,2.001779421334504e-06,0.64374840259552,3.6105315685272217
74,1.0,1.7725300267557031e-06,0.64374840259552,3.6255433559417725
75,1.0,1.5262792203429854e-06,0.64374840259552,3.643111228942871
76,1.0,1.3922119705966907e-06,0.6432391405105591,3.659684896469116
77,1.0,1.2281972203709302e-06,0.6429844498634338,3.67179536819458
78,1.0,1.0646631380950566e-06,0.64374840259552,3.6834499835968018
79,1.0,9.564147376295296e-07,0.64374840259552,3.69389009475708
80,1.0,8.524878580828954e-07,0.6432391405105591,3.707998514175415
81,1.0,7.430978712363867e-07,0.6427298188209534,3.7274744510650635
82,1.0,6.910522074576875e-07,0.6424751877784729,3.734783411026001
83,1.0,6.156074618957064e-07,0.6429844498634338,3.7552428245544434
84,1.0,5.683265271727578e-07,0.6440030336380005,3.7723464965820312
85,1.0,5.030640863878943e-07,0.6429844498634338,3.7830631732940674
86,1.0,4.4741048554897134e-07,0.6434937715530396,3.7949676513671875
87,1.0,4.131183857225551e-07,0.6450216174125671,3.7969894409179688
88,1.0,3.605390759275906e-07,0.6445123553276062,3.8115358352661133
89,1.0,3.403815753699746e-07,0.6445123553276062,3.8289475440979004
90,1.0,3.0806461381871486e-07,0.6432391405105591,3.852088451385498
