epoch,_fake_pred,_gp,_real_pred,critic_grad_norm,d_loss,g_loss,val__fake_pred,val__gp,val__real_pred,val_critic_grad_norm,val_d_loss,val_g_loss
0,-3.6729114055633545,0.25414717197418213,7.130918025970459,14.786492138781856,-4.039932727813721,2.2656898498535156,NA,NA,NA,NA,NA,NA
1,-20.537954330444336,0.09381911903619766,-13.050581932067871,6.6019075580152276,-6.269882678985596,11.671588897705078,NA,NA,NA,NA,NA,NA
2,5.388448238372803,0.213492751121521,16.179153442382812,11.234456147454088,-6.054469108581543,9.009453773498535,NA,NA,NA,NA,NA,NA
3,-1.8039849996566772,0.009327416308224201,2.453505039215088,8.236341573051565,-4.084283828735352,-1.260891079902649,NA,NA,NA,NA,NA,NA
4,-7.307667255401611,0.029691068455576897,-8.77373218536377,7.803527588418607,-2.6571388244628906,22.519269943237305,NA,NA,NA,NA,NA,NA
5,-6.656707286834717,0.12453892081975937,1.5262254476547241,5.62093010347453,-2.316580295562744,10.399812698364258,NA,NA,NA,NA,NA,NA
6,-9.205087661743164,0.1180565357208252,-1.6167062520980835,3.6133343788193693,-4.660393714904785,8.6396484375,NA,NA,NA,NA,NA,NA
7,20.410354614257812,0.08607692271471024,24.573135375976562,5.553826917131664,-4.831857204437256,-11.404431343078613,NA,NA,NA,NA,NA,NA
8,20.79134178161621,0.07477102428674698,24.06816291809082,6.927985514925482,-3.2385029792785645,-17.907785415649414,NA,NA,NA,NA,NA,NA
9,64.75328063964844,0.02997247874736786,67.33576202392578,4.560566040674652,-2.6759531497955322,-37.78185272216797,NA,NA,NA,NA,NA,NA
10,71.57960510253906,0.0725637897849083,74.65292358398438,5.200757299972853,-3.951117515563965,-70.18988800048828,NA,NA,NA,NA,NA,NA
11,64.02005767822266,0.03429601341485977,67.6217041015625,5.964628370275992,-3.005194664001465,-84.80940246582031,NA,NA,NA,NA,NA,NA
12,77.57696533203125,0.08722195774316788,85.17405700683594,9.158070159690881,-3.904017448425293,-61.619529724121094,NA,NA,NA,NA,NA,NA
13,69.67841339111328,0.01715347357094288,72.96073150634766,7.311001659043056,-3.6754226684570312,-79.27281188964844,NA,NA,NA,NA,NA,NA
14,81.51214599609375,0.03632405027747154,82.85838317871094,5.98997522360684,-2.3387675285339355,-71.33698272705078,NA,NA,NA,NA,NA,NA
15,91.4671630859375,0.039284802973270416,93.08853912353516,5.621840742304145,-1.934317946434021,-90.37952423095703,NA,NA,NA,NA,NA,NA
16,58.009944915771484,0.033256277441978455,61.301658630371094,5.650963269461257,-1.775395393371582,-82.61705780029297,NA,NA,NA,NA,NA,NA
17,86.58297729492188,0.027922069653868675,89.59407806396484,5.1869117528345665,-1.7830404043197632,-76.68240356445312,NA,NA,NA,NA,NA,NA
18,75.62782287597656,0.06719262897968292,82.6316909790039,5.85425637877391,-2.9450204372406006,-79.63020324707031,NA,NA,NA,NA,NA,NA
